id,artistId,title,displayDate,stageTitle,startTimestamp,endTimestamp,ticketUrl,showInTimetable,stageId,dayId,sortOrder,stageName,dayName,dayOrder,startTime,endTime,startDate,endDate
31448,20080,Dj Sammy,Thu 11 Jul 00:00 - 01:00,CLASSIC AREA,1720735200,1720738800,,,14238,10362,82,CLASSIC AREA,Thursday,2,00:00:00,01:00:00,2024-07-12,2024-07-12
31388,20020,D-Sturb,Thu 11 Jul 00:00 - 00:30,HARDER STAGE,1720735200,1720737000,,,14230,10362,83,HARDER STAGE,Thursday,2,00:00:00,00:30:00,2024-07-12,2024-07-12
32142,20883,Vertile,Thu 11 Jul 00:30 - 01:15,HARDER STAGE,1720737000,1720739700,,,14230,10362,84,HARDER STAGE,Thursday,2,00:30:00,01:15:00,2024-07-12,2024-07-12
32957,21539,Ace Ventura,Thu 11 Jul 00:30 - 02:00,SECOND STAGE,1720737000,1720742400,,,14242,10362,85,SECOND STAGE,Thursday,2,00:30:00,02:00:00,2024-07-12,2024-07-12
31838,19841,W&W,Thu 11 Jul 00:30 - 01:30,MAINSTAGE,1720737000,1720740600,,,14228,10362,86,MAINSTAGE,Thursday,2,00:30:00,01:30:00,2024-07-12,2024-07-12
31454,20086,Niels Van Gogh,Thu 11 Jul 01:00 - 02:00,CLASSIC AREA,1720738800,1720742400,,,14238,10362,87,CLASSIC AREA,Thursday,2,01:00:00,02:00:00,2024-07-12,2024-07-12
31826,19992,Lilly Palmer ,Thu 11 Jul 01:00 - 02:30,ARENA STAGE,1720738800,1720744200,,,14229,10362,88,ARENA STAGE,Thursday,2,01:00:00,02:30:00,2024-07-12,2024-07-12
31422,20054,YouNotUs,Thu 11 Jul 01:15 - 02:15,TERMINAL STAGE,1720739700,1720743300,,,14245,10362,89,TERMINAL STAGE,Thursday,2,01:15:00,02:15:00,2024-07-12,2024-07-12
31383,20015,Act of Rage,Thu 11 Jul 01:15 - 02:15,HARDER STAGE,1720739700,1720743300,,,14230,10362,90,HARDER STAGE,Thursday,2,01:15:00,02:15:00,2024-07-12,2024-07-12
30948,19551,Armin van Buuren,Thu 11 Jul 01:30 - 03:00,MAINSTAGE,1720740600,1720746000,,,14228,10362,91,MAINSTAGE,Thursday,2,01:30:00,03:00:00,2024-07-12,2024-07-12
31436,20068,Sajanka,Thu 11 Jul 02:00 - 03:30,SECOND STAGE,1720742400,1720747800,,,14242,10362,92,SECOND STAGE,Thursday,2,02:00:00,03:30:00,2024-07-12,2024-07-12
31460,20092,Woody Van Eyden ,Thu 11 Jul 02:00 - 03:00,CLASSIC AREA,1720742400,1720746000,,,14238,10362,93,CLASSIC AREA,Thursday,2,02:00:00,03:00:00,2024-07-12,2024-07-12
31938,20603,Rebelion,Thu 11 Jul 02:15 - 03:15,HARDER STAGE,1720743300,1720746900,,,14230,10362,94,HARDER STAGE,Thursday,2,02:15:00,03:15:00,2024-07-12,2024-07-12
31741,20376,Thomas Lizzara,Thu 11 Jul 02:15 - 03:15,TERMINAL STAGE,1720743300,1720746900,,,14245,10362,95,TERMINAL STAGE,Thursday,2,02:15:00,03:15:00,2024-07-12,2024-07-12
31823,19989,i hate models,Thu 11 Jul 02:30 - 04:00,ARENA STAGE,1720744200,1720749600,,,14229,10362,96,ARENA STAGE,Thursday,2,02:30:00,04:00:00,2024-07-12,2024-07-12
31446,20078,Dj Falk ,Thu 11 Jul 03:00 - 04:00,CLASSIC AREA,1720746000,1720749600,,,14238,10362,97,CLASSIC AREA,Thursday,2,03:00:00,04:00:00,2024-07-12,2024-07-12
31827,20462,Mish,Thu 11 Jul 03:15 - 04:15,HARDER STAGE,1720746900,1720750500,,,14230,10362,98,HARDER STAGE,Thursday,2,03:15:00,04:15:00,2024-07-12,2024-07-12
31413,20045,Komacasper,Thu 11 Jul 03:15 - 04:15,TERMINAL STAGE,1720746900,1720750500,,,14245,10362,99,TERMINAL STAGE,Thursday,2,03:15:00,04:15:00,2024-07-12,2024-07-12
31423,20055,Alchimyst,Thu 11 Jul 03:30 - 04:30,SECOND STAGE,1720747800,1720751400,,,14242,10362,100,SECOND STAGE,Thursday,2,03:30:00,04:30:00,2024-07-12,2024-07-12
31820,19987,Fatima Hajji,Thu 11 Jul 04:00 - 05:00,ARENA STAGE,1720749600,1720753200,,,14229,10362,101,ARENA STAGE,Thursday,2,04:00:00,05:00:00,2024-07-12,2024-07-12
32095,20829,CJ Stone,Thu 11 Jul 04:00 - 05:00,CLASSIC AREA,1720749600,1720753200,,,14238,10362,102,CLASSIC AREA,Thursday,2,04:00:00,05:00:00,2024-07-12,2024-07-12
31401,20033,Sefa,Thu 11 Jul 04:15 - 05:15,HARDER STAGE,1720750500,1720754100,,,14230,10362,103,HARDER STAGE,Thursday,2,04:15:00,05:15:00,2024-07-12,2024-07-12
31409,20041,Die Gebrüder Brett,Thu 11 Jul 04:15 - 05:15,TERMINAL STAGE,1720750500,1720754100,,,14245,10362,104,TERMINAL STAGE,Thursday,2,04:15:00,05:15:00,2024-07-12,2024-07-12
31435,20067,Rising Dust,Thu 11 Jul 04:30 - 06:00,SECOND STAGE,1720751400,1720756800,,,14242,10362,105,SECOND STAGE,Thursday,2,04:30:00,06:00:00,2024-07-12,2024-07-12
32845,21475,Creek B2B Mira,Thu 11 Jul 05:00 - 06:00,CLASSIC AREA,1720753200,1720756800,,,14238,10362,106,CLASSIC AREA,Thursday,2,05:00:00,06:00:00,2024-07-12,2024-07-12
31294,19993,Nusha,Thu 11 Jul 05:00 - 06:00,ARENA STAGE,1720753200,1720756800,,,14229,10362,107,ARENA STAGE,Thursday,2,05:00:00,06:00:00,2024-07-12,2024-07-12
32087,20818,Nicolas Binder,Thu 11 Jul 05:15 - 06:00,TERMINAL STAGE,1720754100,1720756800,,,14245,10362,108,TERMINAL STAGE,Thursday,2,05:15:00,06:00:00,2024-07-12,2024-07-12
31395,20027,Lil Texas,Thu 11 Jul 05:15 - 06:00,HARDER STAGE,1720754100,1720756800,,,14230,10362,109,HARDER STAGE,Thursday,2,05:15:00,06:00:00,2024-07-12,2024-07-12
35191,23483,SYRØN,Fri 12 Jul 10:00 - 11:15,VIP VILLAGE,1720771200,1720775700,,,14240,10363,110,VIP VILLAGE,Friday,3,10:00:00,11:15:00,2024-07-12,2024-07-12
35192,23446,NO.MADS,Fri 12 Jul 11:15 - 12:30,VIP VILLAGE,1720775700,1720780200,,,14240,10363,111,VIP VILLAGE,Friday,3,11:15:00,12:30:00,2024-07-12,2024-07-12
35193,23484,The Coast,Fri 12 Jul 12:30 - 13:45,VIP VILLAGE,1720780200,1720784700,,,14240,10363,112,VIP VILLAGE,Friday,3,12:30:00,13:45:00,2024-07-12,2024-07-12
35194,23485,VABU b2b DAVIDE,Fri 12 Jul 13:45 - 15:30,VIP VILLAGE,1720784700,1720791000,,,14240,10363,113,VIP VILLAGE,Friday,3,13:45:00,15:30:00,2024-07-12,2024-07-12
36489,24268,Burlesque,Fri 12 Jul 14:00 - 15:00,ALLIANZ STAGE,1720785600,1720789200,,,16406,10363,114,ALLIANZ STAGE,Friday,3,14:00:00,15:00:00,2024-07-12,2024-07-12
35195,23486,Felipe Alemais,Fri 12 Jul 15:30 - 16:45,VIP VILLAGE,1720791000,1720795500,,,14240,10363,115,VIP VILLAGE,Friday,3,15:30:00,16:45:00,2024-07-12,2024-07-12
31743,20378,SKIY,Fri 12 Jul 16:00 - 17:00,MAINSTAGE,1720792800,1720796400,,,14228,10363,116,MAINSTAGE,Friday,3,16:00:00,17:00:00,2024-07-12,2024-07-12
36490,24269,Force,Fri 12 Jul 16:30 - 17:30,ALLIANZ STAGE,1720794600,1720798200,,,16406,10363,117,ALLIANZ STAGE,Friday,3,16:30:00,17:30:00,2024-07-12,2024-07-12
35196,23487,Sebastian Willms,Fri 12 Jul 16:45 - 18:30,VIP VILLAGE,1720795500,1720801800,,,14240,10363,118,VIP VILLAGE,Friday,3,16:45:00,18:30:00,2024-07-12,2024-07-12
31670,20301,Mau P,Fri 12 Jul 17:00 - 18:30,MAINSTAGE,1720796400,1720801800,tickets.airbeat-one.de,,14228,10363,119,MAINSTAGE,Friday,3,17:00:00,18:30:00,2024-07-12,2024-07-12
36491,24270,Putti0815,Fri 12 Jul 17:30 - 18:30,ALLIANZ STAGE,1720798200,1720801800,,,16406,10363,120,ALLIANZ STAGE,Friday,3,17:30:00,18:30:00,2024-07-12,2024-07-12
31428,20060,Durs,Fri 12 Jul 18:00 - 19:30,SECOND STAGE,1720800000,1720805400,,,14242,10363,121,SECOND STAGE,Friday,3,18:00:00,19:30:00,2024-07-12,2024-07-12
32143,20884,Clockartz,Fri 12 Jul 18:00 - 19:00,HARDER STAGE,1720800000,1720803600,,,14230,10363,122,HARDER STAGE,Friday,3,18:00:00,19:00:00,2024-07-12,2024-07-12
32170,20928,Uwe Worlitzer,Fri 12 Jul 18:00 - 19:00,TERMINAL STAGE,1720800000,1720803600,,,14245,10363,123,TERMINAL STAGE,Friday,3,18:00:00,19:00:00,2024-07-12,2024-07-12
32174,20968,Martink,Fri 12 Jul 18:00 - 19:00,CLASSIC AREA,1720800000,1720803600,,,14238,10363,124,CLASSIC AREA,Friday,3,18:00:00,19:00:00,2024-07-12,2024-07-12
35000,23306,Belocca b2b Tommahawk,Fri 12 Jul 18:00 - 19:00,ARENA STAGE,1720800000,1720803600,,,14229,10363,125,ARENA STAGE,Friday,3,18:00:00,19:00:00,2024-07-12,2024-07-12
36492,24271,Buhold ,Fri 12 Jul 18:30 - 19:30,ALLIANZ STAGE,1720801800,1720805400,,,16406,10363,126,ALLIANZ STAGE,Friday,3,18:30:00,19:30:00,2024-07-12,2024-07-12
31471,20103,Kevin de Vries,Fri 12 Jul 18:30 - 20:00,MAINSTAGE,1720801800,1720807200,,,14228,10363,127,MAINSTAGE,Friday,3,18:30:00,20:00:00,2024-07-12,2024-07-12
31412,20044,Jerome,Fri 12 Jul 19:00 - 20:00,TERMINAL STAGE,1720803600,1720807200,,,14245,10363,128,TERMINAL STAGE,Friday,3,19:00:00,20:00:00,2024-07-12,2024-07-12
31450,20082,Ian Van Dahl ,Fri 12 Jul 19:00 - 20:00,CLASSIC AREA,1720803600,1720807200,,,14238,10363,129,CLASSIC AREA,Friday,3,19:00:00,20:00:00,2024-07-12,2024-07-12
